CalcDate,Code,prev_close,open_price,high_price,low_price,volume,close_price,amount,vwap,turnover
2022-05-25,689009.SH,39.92,40.47,40.68,39.44,3690299.0,40.3,147914516.0,40.08198685255585,0.007251748013079852
2022-05-26,689009.SH,40.3,40.29,40.59,39.41,3029905.0,39.98,121453911.0,40.0850558020796,0.005954018241765967
2022-05-27,689009.SH,39.98,40.3,42.38,39.89,3496574.0,40.47,142774835.0,40.83277945783501,0.0068710620893013465
2022-05-30,689009.SH,40.47,40.65,44.0,40.3,5580165.0,42.75,238308662.0,42.70638269656901,0.010965493704279175
2022-05-31,689009.SH,42.75,43.0,46.15,41.76,5293130.0,45.6,233736600.0,44.15848467730813,0.010401445779995973
2022-06-01,689009.SH,45.6,45.7,47.99,45.0,4687536.0,47.11,219990948.0,46.9310418095989,0.009211402619202476
2022-06-02,689009.SH,47.11,46.61,51.78,45.55,6791813.0,51.4,334549814.0,49.25780700970418,0.013346483964567614
2022-06-06,689009.SH,51.4,51.89,56.99,49.34,6688775.0,55.0,365589298.0,54.65713796621952,0.013144005625611417
2022-06-07,689009.SH,55.0,54.01,55.55,53.0,4379104.0,55.45,236540778.0,54.01579364180435,0.008605307789712982
2022-06-08,689009.SH,55.45,55.0,56.98,53.4,4997753.0,54.4,275352040.0,55.095167768395115,0.009821005123870415
