factor,mean,min,max,std
Factor level0/behavior/momentum/ff_alpha_6m,3274.032401,1997,5363,1007.027057
Factor level0/behavior/momentum/ff_mom_6m,3274.032401,1997,5363,1007.027057
Factor level0/fundamental/growth/gp_margin_acce,3443.886598,1997,5231,1000.10228
Factor level0/fundamental/earning/gp_margin_zscore,3457.621502,2000,5274,1018.692632
Factor level0/fundamental/growth/gp_qoq,3459.259205,2000,5278,1018.300005
Factor level0/fundamental/growth/tax_acce,3473.063328,2000,5273,1014.808031
Factor level0/behavior/momentum/mom_3m,3488.516937,2000,5377,1057.28805
Factor level0/fundamental/quality/liab_equ,3517.129602,2000,5376,1047.941151
Factor level0/fundamental/earning/gp_margin_ttm,3459.615611,2001,5278,1018.167847
Factor level0/fundamental/growth/tax_accv,3474.670103,2001,5275,1014.289827
Factor level0/fundamental/growth/tax_ttm_yoy,3481.427099,2001,5309,1028.509013
Factor level0/behavior/volatility/ff_reskurt_12m,3286.318115,2002,5361,997.5519277
Factor level0/fundamental/growth/gp_yoy,3457.680412,2002,5263,1017.52886
Factor level0/fundamental/quality/ta_equ,3516.988218,2002,5375,1047.573626
Factor level0/fundamental/earning/gp_ta_zscore,3458.605302,2003,5265,1017.467601
Factor level0/fundamental/earning/gp_ta_qtr,3458.874816,2003,5269,1018.037878
Factor level0/behavior/momentum/mom_6m,3509.46539,2003,5377,1045.711128
Factor level0/fundamental/earning/tax_equ_zscore,3503.516937,2004,5342,1041.720343
Factor level0/behavior/volatility/ff_resskew_12m,3287.836524,2005,5363,996.9345736
Factor level0/behavior/volatility/ff_resvol_12m,3289.519882,2005,5363,997.2098771
Factor level0/fundamental/earning/roic_ttm,3459.877761,2005,5279,1019.654419
Factor level0/fundamental/growth/tax_qoq,3501.184094,2005,5349,1043.007657
Factor level0/fundamental/earning/ocfa,3458.226804,2006,5254,1015.038052
Factor level0/fundamental/growth/gp_margin_yoy_zscore,3458.807069,2006,5275,1017.950355
Factor level0/fundamental/growth/gp_accv,3459.251841,2006,5263,1015.899397
Factor level0/fundamental/earning/roic_zscore,3459.776141,2006,5279,1019.948248
Factor level0/fundamental/earning/rroc,3460.072165,2006,5274,1017.077364
Factor level0/fundamental/quality/assetcur_asset,3460.16053,2006,5278,1018.301437
Factor level0/fundamental/quality/liabcur_liab,3460.16053,2006,5278,1018.301437
Factor level0/fundamental/quality/ratio_cash,3460.16053,2006,5278,1018.301437
Factor level0/fundamental/quality/ratio_quick,3482.20324,2006,5321,1034.909072
Factor level0/fundamental/earning/oper_margin_zscore,3510.098675,2006,5369,1047.750902
Factor level0/fundamental/earning/net_margin_zscore,3510.100147,2006,5369,1047.75349
Factor level0/behavior/momentum/mom_ltampl_v1,3512.39028,2006,5377,1044.27092
Factor level0/fundamental/growth/gp_ttm_yoy,3458.515464,2007,5265,1016.936579
Factor level0/fundamental/growth/gp_acce,3458.764359,2007,5263,1016.325409
Factor level0/fundamental/quality/ratio_current,3485.154639,2007,5321,1034.705093
Factor level0/fundamental/growth/gp_rank_delta,3458.932253,2008,5264,1016.041764
Factor level0/fundamental/earning/ebit_tangible_ttm,3459.359352,2008,5279,1016.810497
Factor level0/fundamental/earning/tax_equ_qtr,3507.481591,2008,5350,1042.083725
Factor level0/fundamental/earning/sue_gp,3460.285714,2009,5278,1017.691759
Factor level0/fundamental/earning/sue_gp_reg,3460.285714,2009,5278,1017.691759
Factor level0/behavior/momentum/ff_alpha_12m,3289.007364,2010,5363,996.7825726
Factor level0/behavior/correlation/ff_r2_12m,3290.500736,2010,5363,996.3777507
Factor level0/behavior/momentum/ff_mom_12m,3290.500736,2010,5363,996.3777507
Factor level0/fundamental/growth/gp_ta_yoy_trend,3456.746686,2010,5239,1009.980146
Factor level0/fundamental/growth/gp_ta_qoq_trend,3460.001473,2010,5256,1015.577252
Factor level0/fundamental/earning/gp_ta_ttm,3460.627393,2010,5270,1017.177648
Factor level0/fundamental/earning/npro_core_ratio,3460.773196,2010,5278,1017.191027
Factor level0/fundamental/earning/sue_tax,3505.515464,2011,5352,1041.609506
Factor level0/fundamental/earning/sue_tax_reg,3505.515464,2011,5352,1041.609506
Factor level0/fundamental/growth/gp_yoy_zscore,3465.110457,2014,5279,1015.266211
Factor level0/behavior/momentum/mom_12m,3515.79676,2016,5377,1042.695115
Factor level0/fundamental/earning/cfo_sales_qtr,3520.257732,2021,5361,1041.171223
Factor level0/fundamental/earning/dedt_npro_qtr,3521.908689,2021,5374,1044.032493
Factor level0/fundamental/earning/net_margin_qtr,3521.908689,2021,5374,1044.032493
Factor level0/fundamental/earning/oper_margin_qtr,3521.908689,2021,5374,1044.032493
Factor level0/fundamental/growth/oper_margin_yoy_zscore,3517.997054,2022,5373,1046.835222
Factor level0/fundamental/growth/net_margin_yoy_zscore,3517.998527,2022,5373,1046.837805
Factor level0/fundamental/growth/oper_margin_accv,3503.164948,2024,5296,1015.359063
Factor level0/fundamental/growth/net_margin_accv,3503.231222,2024,5296,1015.445859
Factor level0/fundamental/growth/equ_rank_delta,3506.234168,2025,5340,1023.394312
Factor level0/fundamental/growth/net_margin_yoy,3511.559647,2025,5335,1027.029485
Factor level0/fundamental/growth/oper_margin_yoy,3511.559647,2025,5335,1027.029485
Factor level0/fundamental/earning/tax_equ_ttm,3513.761414,2025,5351,1040.354389
Factor level0/fundamental/growth/liab_rank_delta,3506.226804,2026,5340,1023.337432
Factor level0/fundamental/growth/ta_rank_delta,3506.259205,2026,5340,1023.367277
Factor level0/fundamental/growth/oper_margin_acce,3504.254786,2027,5296,1014.386843
Factor level0/fundamental/growth/net_margin_acce,3504.32106,2027,5296,1014.473652
Factor level0/fundamental/growth/oper_margin_rank_delta,3512.08542,2029,5335,1026.668017
Factor level0/fundamental/growth/net_margin_rank_delta,3512.104566,2029,5335,1026.696975
Factor level0/fundamental/growth/oper_margin_ttm_yoy,3512.368189,2029,5336,1026.653716
Factor level0/fundamental/growth/net_margin_ttm_yoy,3512.381443,2029,5336,1026.674224
