ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
605588.SH,20250818,63.44,19.7182,57.6182,,,4.5159,3.4294,3.2809,7346.8201,7309.9561,2501.6228,466082.2671,463743.615,0
688248.SH,20250818,35.01,1.7442,2.5472,54.1579,52.0252,6.6588,6.5604,6.5509,56470.0,22840.0,15640.0,1977014.7,799628.4,0
601113.SH,20250818,4.01,2.4653,3.9948,9.0599,8.8091,1.1412,0.5887,0.6716,110415.2226,110415.2226,68139.9924,442765.0426,442765.0426,0
688429.SH,20250818,15.17,1.7782,2.4382,,,3.9579,8.538,8.1145,40000.08,11982.7267,8738.7235,606801.2136,181777.964,0
000793.SZ,20250818,2.6,1.3101,1.6929,,,27.9867,15.4686,16.6104,199724.5457,196100.8615,151761.1002,519283.8188,509862.2399,0
300444.SZ,20250818,7.69,6.0237,6.6284,75.9696,4345.0954,3.7615,1.7686,2.0016,79862.509,59230.0893,53827.0277,614142.6942,455479.3867,0
000709.SZ,20250818,2.37,0.9228,2.6201,34.6309,31.3842,0.4794,0.2014,0.1969,1033712.1092,1033541.2398,364017.535,2449897.6988,2449492.7383,0
002391.SZ,20250818,6.23,2.4165,2.7116,,,0.9516,1.1483,1.104,64959.255,46412.0811,41361.4067,404696.1587,289147.2653,0
003028.SZ,20250818,35.06,4.3008,6.619,24.9568,26.2347,2.9421,3.619,3.5285,14471.1,7053.8198,4583.3464,507356.766,247306.9222,0
001376.SZ,20250818,12.24,3.752,3.752,29.5008,29.3301,5.1519,4.9814,5.0495,46090.0,21131.6715,21131.6715,564141.6,258651.6592,0
000655.SZ,20250818,8.67,2.7664,6.6517,25.3065,22.3448,1.5441,3.3398,3.1838,59534.023,59534.023,24760.0085,516159.9794,516159.9794,0
605009.SH,20250818,41.79,2.3764,7.1526,23.1933,22.9059,2.7544,3.0682,2.8081,21506.764,21461.964,7130.5661,898767.6676,896895.4756,0
688458.SH,20250818,44.5,2.8285,3.0524,,,2.6613,12.2805,11.4196,11153.6629,8506.8541,7882.8512,496337.9991,378555.0075,0
