ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000815.CSI,20250815,19836.5533,19773.0583,19886.5562,19690.281,19800.9727,35.5806,0.1797,6564753.79,25655622.356,2025-08-15 17:53:38
000815.SH,20250815,19836.5533,19773.0583,19886.5562,19690.281,19800.9727,35.5806,0.1797,6564753.79,25655622.356,2025-08-15 17:53:38
000819.SH,20250815,6460.9498,6279.9688,6487.6657,6279.9688,6321.8052,139.1446,2.201,36486242.0,63910159.054,2025-08-15 17:53:38
000820.CSI,20250815,4104.6692,4068.426,4116.9552,4068.426,4075.0744,29.5948,0.7262,8470058.08,5342748.261,2025-08-15 17:53:38
000820.SH,20250815,4104.6692,4068.426,4116.9552,4068.426,4075.0744,29.5948,0.7262,8470058.08,5342748.261,2025-08-15 17:53:38
000821.CSI,20250815,6765.2616,6784.0523,6785.753,6729.8873,6788.4732,-23.2116,-0.3419,70573329.46,75360621.657,2025-08-15 17:53:38
000823.SH,20250815,7397.1363,7188.9056,7430.8228,7188.9056,7237.2292,159.9071,2.2095,32971862.0,53825860.9,2025-08-15 15:09:19
000824.CSI,20250815,2142.8689,2137.1523,2144.893,2129.6421,2138.5027,4.3662,0.2042,73020151.34,63913564.543,2025-08-15 17:53:38
000824.SH,20250815,2142.8689,2137.1523,2144.893,2129.6421,2138.5027,4.3662,0.2042,73020151.34,63913564.543,2025-08-15 17:53:38
000825.CSI,20250815,3376.9057,3369.1238,3382.7384,3358.8984,3362.6008,14.3049,0.4254,62076783.37,54547337.396,2025-08-15 17:53:38
000825.SH,20250815,3376.9057,3369.1238,3382.7384,3358.8984,3362.6008,14.3049,0.4254,62076783.37,54547337.396,2025-08-15 17:53:38
000827.SH,20250815,1491.1898,1455.8596,1496.0922,1455.8596,1458.4169,32.7729,2.2472,38655380.0,80298602.221,2025-08-15 17:53:38
000828.CSI,20250815,2664.9577,2604.0207,2674.6894,2604.0207,2613.1693,51.7884,1.9818,71633691.31,265592512.173,2025-08-15 17:53:38
000841.CSI,20250815,9126.3856,9036.6483,9169.1764,9012.3661,9071.1378,55.2478,0.6091,10004677.58,35778423.998,2025-08-15 17:53:38
000846.CSI,20250815,1324.8153,1309.5935,1328.983,1309.2131,1312.5939,12.2214,0.9311,103913714.43,196462523.307,2025-08-15 17:53:38
000847.SH,20250815,3355.3705,3284.3395,3360.9446,3284.3395,3289.0726,66.2979,2.0157,43299725.0,83674361.2,2025-08-15 15:09:19
000849.SH,20250815,11119.0569,10770.0808,11245.3171,10708.3569,10802.562,316.4949,2.9298,52801018.0,109089587.7,2025-08-15 15:09:19
000851.SH,20250815,18402.8432,18104.7222,18438.9388,18104.7222,18115.6206,287.2226,1.5855,41178029.0,57106978.6,2025-08-15 15:09:19
