TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
000922.SH,20250815,5615.6102,5622.1641,5639.9927,5518.7228,5553.4158,27498990374.0,250523156900.0,-62.1944,-0.011075
000021.SH,20250815,1030.8369,1031.7804,1038.9064,1025.308,1029.7111,35524598100.0,529278992579.0,-1.1258,-0.001092
000022.SH,20250815,251.6521,251.7109,251.8002,251.7068,251.8002,239846.0,2411419822.0,0.1481,0.000589
000923.SH,20250815,252.2946,252.3529,252.4377,252.3494,252.4361,1984979.0,20126120153.0,0.1415,0.000561
399005.SZ,20250815,6902.7429,6936.2708,7124.9965,6936.2708,7117.6497,23233946665.0,534634474746.5,214.9068,0.031134
399358.SZ,20250815,4383.0828,4403.8578,4551.7475,4384.43,4535.1274,12733176750.0,268899568663.7,152.0446,0.034689
000025.SH,20250815,1859.6784,1862.7524,1863.5054,1827.6875,1831.0042,13200947100.0,97395713044.0,-28.6742,-0.015419
000026.SH,20250815,4141.7757,4146.0729,4214.0712,4086.7181,4191.3893,7312362000.0,133792892871.0,49.6136,0.011979
000027.SH,20250815,762.3378,762.5792,763.0408,750.6769,753.0094,2738601800.0,22968026881.0,-9.3284,-0.012237
000028.SH,20250815,3372.4652,3376.6402,3472.1905,3364.7469,3451.7146,16431095700.0,486929262524.0,79.2494,0.023499
000029.SH,20250815,4492.8746,4495.4973,4510.0558,4424.2527,4455.5327,34562532700.0,353517905596.0,-37.3419,-0.008311
000030.SH,20250815,2201.8671,2203.9572,2274.259,2196.7599,2263.8873,38321410100.0,903061880107.0,62.0202,0.028167
000031.SH,20250815,3223.46,3225.6123,3247.9623,3193.7086,3216.1913,56452847100.0,769650523179.0,-7.2687,-0.002255
000032.SH,20250815,1874.8093,1876.5668,1888.4436,1849.5042,1855.6655,5980735000.0,45472461505.0,-19.1438,-0.010211
000033.SH,20250815,2668.5163,2674.7152,2755.6084,2647.3924,2741.092,19638166100.0,265501603888.0,72.5757,0.027197
000034.SH,20250815,2162.7284,2170.117,2170.9248,2122.9526,2144.4412,18950328400.0,197104759705.0,-18.2872,-0.008456
000035.SH,20250815,2777.0047,2775.0826,2838.8747,2771.9687,2832.3232,8907483300.0,133868126890.0,55.3185,0.01992
000036.SH,20250815,10981.3671,10984.8028,11218.8454,10963.4076,11129.6313,2293173000.0,95911197071.0,148.2642,0.013501
